外感风寒表实证。恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧。	麻黄 桂枝 杏仁 甘草
外感风寒，里有郁热证。恶寒发热，头身疼痛，无汗，烦躁，口渴，脉浮紧。	麻黄 桂枝 甘草 杏仁 石膏 生姜 大枣
外寒里饮证。恶寒发热，头身疼痛，无汗，喘咳，痰涎清稀而量多，胸痞，或干呕，或痰饮咳喘，不得平卧，或身体疼重，头面四肢浮肿，舌苔白滑，脉浮。	麻黄 芍药 细辛 干姜 甘草 桂枝 五味子 半夏
外感风寒表虚证。恶风发热，汗出头疼，鼻鸣咽干，苔白不渴，脉浮缓或浮弱。	桂枝 芍药 甘草 生姜 大枣
风寒客于太阳经输，营卫不和证。桂枝汤兼项背强而不舒者。	桂枝 芍药 生姜 甘草 大枣 葛根
宿有喘病，又感风寒而见桂枝汤证者；或风寒表证误用下剂后，表证未解而微喘者。	桂枝 芍药 生姜 甘草 大枣 厚朴 杏仁
心阳虚弱，寒水凌心之奔豚。太阳病误用温针或因发汗太过而发奔豚，气从少腹上冲心胸，起卧不安，有发作性者。	桂枝 芍药 生姜 甘草 大枣
太阳病误下伤中，土虚木乘之腹痛。	桂枝 芍药 甘草 生姜 大枣
温病初起。发热，微恶风寒，无汗或有汗不畅，头痛口渴，咳嗽咽痛，舌尖红，苔薄白或薄黄，脉浮数。	连翘 金银花 苦桔梗 薄荷 竹叶 生甘草 芥穗 淡豆豉 牛蒡子
外感风邪，邪热壅肺证。身热不解，咳逆气急，甚则鼻煽，口渴，有汗或无汗，舌苔薄白或黄，脉浮而数。	麻黄 杏仁 石膏 甘草
气虚，外感风寒湿表证。憎寒壮热，头项强痛，肢体酸痛，无汗，鼻塞声重，咳嗽有痰，胸膈痞满，舌淡苔白，脉浮而按之无力。	柴胡 前胡 川芎 枳壳 羌活 独活 茯苓 桔梗 人参 甘草
1、阳明腑实证。大便不通，频转矢气，脘腹痞满，腹痛拒按，按之则硬，甚或潮热谵语，手足濈ji然汗出，舌苔黄燥起刺，或燥裂，脉沉实。2、热结旁流证。下利清水，色纯青，其气臭秽，脐腹疼痛，按之坚硬有块，口舌干燥，脉滑实。3、里热实证之热厥、痉病或发狂等。	大黄 厚朴 枳实 芒硝
阳明腑实轻证。谵语潮热，大便秘结，胸腹痞满，舌苔老黄，脉滑而疾；或痢疾初起，腹中胀痛，里急后重。	大黄 厚朴 枳实
阳明病胃肠燥热证。大便不通，口渴心烦，蒸蒸发热，或腹中胀满，或为谵语，舌苔正黄，脉滑数；以及胃肠热盛而致发斑吐衄，牙龈、咽喉肿痛等。	大黄 甘草 芒硝 
肠痈初起，湿热淤滞证。右少腹疼痛拒按，按之其痛如淋，甚则局部肿痞，或右足屈而不伸，伸则痛剧，小便自调，或时时发热，自汗恶寒，舌苔薄腻而黄，脉滑数。	大黄 牡丹皮 桃仁 冬瓜 芒硝 
水热互结之结胸证。心下疼痛，拒按，按之硬，或从心下至少腹硬满疼痛，手不可近。伴有短气躁烦，大便秘结，舌上燥而渴，日晡小有潮热，舌红苔黄腻或兼水滑，脉沉紧或沉迟有力。	大黄 芒硝 甘遂 
寒积里实证。腹痛便秘，胁下偏痛，发热，手足厥冷，舌苔白腻，脉弦紧。	大黄 附子 细辛 
阳虚寒积证。腹痛便秘，脐下绞结，绕脐不止，手足不温，苔白不渴，脉沉弦而迟。	大黄 当归 干姜 附子 人参 芒硝 甘草 
胃肠燥热，脾约便秘证。大便干结，小便频数。	麻子仁 芍药 枳实 大黄 厚朴 杏仁 
1、悬饮。咳唾胸胁引痛，心下痞硬胀满，干呕短气，头痛目眩，或胸背掣痛不得息，舌苔滑，脉沉迟。2、水肿。一身悉肿，尤以身半以下为重，腹痛喘满，二便不利。	芫花 甘遂 大戟
阳明腑实，气血不足证。自利清水，色纯青，或大便秘结，脘腹胀满，腹痛拒按，身热口渴，神疲少气，谵语，甚则循衣摸床，撮空理线，神昏肢厥，舌苔焦黄或焦黑，脉虚。	大黄 芒硝 枳实 厚朴 当归 人参 甘草 
1、伤寒少阳证。往来寒热，胸胁苦满，默默不欲饮食，心烦喜呕，口苦，咽干，目眩，舌苔薄白，脉弦。2、热入血室证。妇人中风，经水适断，寒热发作有时。3、疟疾、黄疸或内伤杂病而见少阳证者。	柴胡 黄芩 人参 甘草 半夏 生姜 大枣
少阳阳明合病。往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬，或心下满痛，大便不解或协热下利，舌苔黄，脉弦数有力。	柴胡 黄芩 芍药 半夏 生姜 枳实 大枣 大黄
少阳湿热证。寒热入疟，寒轻热重，口苦膈闷，吐酸苦水，或呕黄涎而黏，甚则干呕呃逆，胸胁胀疼，小便黄少，舌红苔白腻，间现杂色，脉数而右滑左弦者。	青蒿 淡竹茹 仙半夏 赤茯苓 黄芩 枳壳 陈皮 滑石 甘草 青黛 
1、阳郁厥逆证。手足不温，或腹痛，或泄利下重，脉弦。2、肝脾气郁证。胁肋胀闷，脘腹疼痛，脉弦等。	甘草 枳实 柴胡 芍药
肝郁血虚脾弱证。两肋作痛，头痛目眩，口燥咽干，神疲食少，或月经不调，乳房胀痛，脉弦而虚者。	甘草 当归 茯苓 白芍药 白术 柴胡
脾虚肝旺之痛泻。肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓，舌苔薄白，脉两关不调，左弦而右缓者。	白术 白芍药 陈皮 防风
寒热错杂之痞证。心下悸，但满而不痛，或呕吐，肠鸣下利，舌苔腻而微黄。	半夏 黄芩 干姜 人参 黄连 大枣 甘草
水热互结痞证。心下痞硬，干噫食臭，腹中雷鸣下利者。	生姜 甘草 人参 干姜 黄芩 半夏 黄连 大枣 
胃气虚弱痞证。下利日数十行，谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安。	甘草 黄芩 人参 干姜 黄连 大枣 半夏
气分热盛证。壮热面赤，烦躁引饮，汗出恶风，脉洪大有力。	石膏 知母 甘草 粳米
气分热盛，气阴两伤证。汗、吐、下后，里热炽盛，而见四大症者；白虎汤证见有背微恶寒，或饮不解渴，或脉浮大而孔，以及暑热病见有身大热属气津两伤者。	知母 石膏 甘草 粳米 人参
伤寒、温病、暑病余热未清，气津两伤证。身热多汗，心胸烦闷，气逆欲呕，口干喜饮，气短神疲，或虚烦不寐，舌红苔少，脉虚数。	竹叶 石膏 半夏 麦门冬 人参 甘草 粳米
热入营分证。身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，斑疹隐隐，脉细数，舌绛而干。	犀角 生地黄 元参 竹叶 麦冬 丹参 黄连 银花 连翘
